"","dataset","model_type","auc","auc_training","aucpr","accuray_max","f1_max","sensitivity_max","precision_max","training_time"
"1","yelp_sub_total","Deep Learning",0.669183240641963,0.718847263579995,0.240814787304635,0.861206305688828,0.319500550863019,1,0.75,36.4459999999999
"2","yelp_sub_total","Random forests",0.711712842395908,0.871508416119895,0.288564249756046,0.861891706648389,0.364654138344662,1,1,13.4720000000007
"3","yelp_sub_total","Generalized Linear Model",0.697691352444228,0.69535090385737,0.263176447163456,0.861206305688828,0.355869242199108,1,1,1.33299999999963
"4","yelp_sub_total","Gradient Boosting",0.714724004580967,0.804578305301419,0.288837333453637,0.861720356408499,0.361058601134215,1,1,6.52000000000044
"5","yelp_sub_total","Naive Bayes",0.634515164648113,0.63664212338396,0.223286677388171,0.846298834818369,0.293720459149224,1,0.317164179104478,1.41200000000026
"6","yelp_sub_total","Stacked Ensembles",0.712260337571774,0.99590500300972,0.280579423985712,0.861549006168609,0.360836083608361,1,1,45.9499999999998
"7","yelp_sub_total","Decision trees",0.6372841395783,0.818693505481652,0.225542460353272,0.857779300891021,0.32755440796754,1,0.339285714285714,1.36799999999948
"8","yelp_sub_total","#Support Vector Machines",0.641533447334568,NA,NA,NA,NA,NA,NA,NA
